# ========================================================
# 4-BAR PLANAR ANALYTICAL KINEMATIC DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (205.0, 0.0) mm
# Ground Distance (d): 205.0 mm
# Link 1 (Crank L1): 85.0 mm
# Link 2 (Coupler L2): 207.80038498520642 mm
# Link 3 (Rocker L3): 119.0 mm
# Coupler Point Offset (LP): 164.45364088398895 mm
# Coupler Point Angle (alpha): 28.916346831104075 deg
# Crank Velocity (omega1): 10.0 rad/s
# ========================================================
crank_angle_deg,coupler_p_x,coupler_p_y,vel_x,vel_y,vel_mag,acc_x,acc_y,acc_mag,acc_tangential,acc_normal
58.0,171.8329,176.8187,-631.2528,341.9778,717.9338,-6886.3854,-4513.6546,8233.7951,3904.9293,7248.9247
58.5,171.2794,177.1155,-637.217,338.0056,721.3136,-6782.5962,-4589.6007,8189.5082,3841.1512,7232.8143
59.0,170.7208,177.4087,-643.0909,333.9678,724.6381,-6679.5747,-4664.1744,8146.8546,3778.2853,7217.7421
59.5,170.1571,177.6983,-648.8753,329.8655,727.9082,-6577.2972,-4737.3863,8105.7799,3716.3272,7203.6505
60.0,169.5883,177.9844,-654.5707,325.6999,731.1246,-6475.741,-4809.2469,8066.2307,3655.2713,7190.4846
60.5,169.0147,178.2668,-660.1778,321.4722,734.2881,-6374.8838,-4879.7668,8028.1547,3595.1109,7178.1923
61.0,168.4361,178.5454,-665.6972,317.1835,737.3995,-6274.7045,-4948.9562,7991.5007,3535.8384,7166.7238
61.5,167.8528,178.8203,-671.1294,312.835,740.4596,-6175.1825,-5016.8255,7956.2187,3477.4453,7156.0317
62.0,167.2648,179.0914,-676.4751,308.4279,743.4691,-6076.2981,-5083.3849,7922.2598,3419.9224,7146.071
62.5,166.6722,179.3586,-681.7347,303.9632,746.4287,-5978.0323,-5148.6445,7889.5761,3363.2596,7136.7987
63.0,166.075,179.6219,-686.9089,299.4422,749.3393,-5880.3669,-5212.6144,7858.1209,3307.4464,7128.1738
63.5,165.4733,179.8812,-691.9981,294.8659,752.2016,-5783.2843,-5275.3043,7827.8486,3252.4718,7120.1573
64.0,164.8672,180.1365,-697.0028,290.2354,755.0162,-5686.7676,-5336.7241,7798.7147,3198.3242,7112.7121
64.5,164.2568,180.3878,-701.9235,285.5519,757.7839,-5590.8007,-5396.8834,7770.6758,3144.9917,7105.8025
65.0,163.6422,180.6349,-706.7607,280.8164,760.5055,-5495.368,-5455.7915,7743.6897,3092.4622,7099.3949
65.5,163.0233,180.8779,-711.5149,276.0301,763.1815,-5400.4547,-5513.4579,7717.7152,3040.7229,7093.457
66.0,162.4004,181.1166,-716.1864,271.194,765.8128,-5306.0463,-5569.8917,7692.7122,2989.7612,7087.958
66.5,161.7734,181.3512,-720.7758,266.3092,768.3999,-5212.1294,-5625.1019,7668.6416,2939.5642,7082.8685
67.0,161.1424,181.5814,-725.2835,261.3767,770.9435,-5118.6908,-5679.0975,7645.4655,2890.1186,7078.1606
67.5,160.5075,181.8074,-729.7098,256.3976,773.4443,-5025.7179,-5731.887,7623.147,2841.4112,7073.8075
68.0,159.8688,182.0289,-734.0551,251.373,775.9029,-4933.1989,-5783.4792,7601.6501,2793.4287,7069.7836
68.5,159.2264,182.2461,-738.3199,246.3039,778.3199,-4841.1224,-5833.8824,7580.9399,2746.1577,7066.0645
69.0,158.5803,182.4588,-742.5046,241.1913,780.696,-4749.4775,-5883.1048,7560.9827,2699.5848,7062.627
69.5,157.9305,182.667,-746.6095,236.0363,783.0318,-4658.2538,-5931.1546,7541.7454,2653.6965,7059.4488
70.0,157.2772,182.8707,-750.6349,230.8398,785.3278,-4567.4415,-5978.0396,7523.1961,2608.4795,7056.5086
70.5,156.6204,183.0699,-754.5813,225.603,787.5847,-4477.0313,-6023.7676,7505.3038,2563.9201,7053.7861
