# ========================================================
# 4-BAR PLANAR ANALYTICAL KINEMATIC DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (140.0, 0.0) mm
# Ground Distance (d): 140.0 mm
# Link 1 (Crank L1): 50.0 mm
# Link 2 (Coupler L2): 120.0 mm
# Link 3 (Rocker L3): 100.0 mm
# Coupler Point Offset (LP): 80.0 mm
# Coupler Point Angle (alpha): 30.0 deg
# Crank Velocity (omega1): 10.0 rad/s
# ========================================================
crank_angle_deg,coupler_p_x,coupler_p_y,vel_x,vel_y,vel_mag,acc_x,acc_y,acc_mag,acc_tangential,acc_normal
66.0,64.4782,112.3971,-304.6787,102.744,321.5361,-4240.7847,-3605.9955,5566.638,2866.1859,4772.0475
66.5,64.2107,112.4854,-308.3528,99.5907,324.0366,-4179.605,-3620.8287,5529.8732,2864.4655,4730.1518
67.0,63.94,112.571,-311.9735,96.4246,326.5351,-4118.5158,-3635.4996,5493.5444,2861.3047,4689.5592
67.5,63.6662,112.6537,-315.541,93.2456,329.0302,-4057.523,-3649.9991,5457.6539,2856.7842,4650.2441
68.0,63.3893,112.7337,-319.0552,90.0542,331.5207,-3996.632,-3664.3181,5422.2039,2850.981,4612.1798
68.5,63.1094,112.8109,-322.5164,86.8503,334.0057,-3935.8483,-3678.4478,5387.1959,2843.9681,4575.3388
69.0,62.8264,112.8853,-325.9246,83.6341,336.4841,-3875.1769,-3692.3794,5352.6313,2835.8154,4539.693
69.5,62.5405,112.9568,-329.2799,80.4059,338.9548,-3814.6227,-3706.1047,5318.511,2826.589,4505.214
70.0,62.2518,113.0256,-332.5824,77.1658,341.4171,-3754.1905,-3719.6153,5284.8354,2816.3519,4471.8728
70.5,61.9601,113.0915,-335.8322,73.914,343.87,-3693.8847,-3732.9034,5251.6047,2805.164,4439.6404
71.0,61.6656,113.1546,-339.0295,70.6507,346.3128,-3633.7096,-3745.961,5218.8188,2793.0819,4408.4876
71.5,61.3684,113.2148,-342.1743,67.3761,348.7446,-3573.6693,-3758.7807,5186.4771,2780.1597,4378.3852
72.0,61.0684,113.2722,-345.2668,64.0905,351.1648,-3513.768,-3771.355,5154.5789,2766.4484,4349.3042
72.5,60.7658,113.3267,-348.307,60.794,353.5728,-3454.0093,-3783.6766,5123.123,2751.9967,4321.2155
73.0,60.4605,113.3783,-351.2952,57.4868,355.9678,-3394.397,-3795.7387,5092.108,2736.8504,4294.0905
73.5,60.1527,113.427,-354.2314,54.1692,358.3493,-3334.9347,-3807.5344,5061.5321,2721.0532,4267.9007
74.0,59.8423,113.4728,-357.1158,50.8415,360.7167,-3275.6257,-3819.057,5031.3935,2704.6465,4242.618
74.5,59.5294,113.5157,-359.9485,47.5038,363.0696,-3216.4734,-3830.3002,5001.6898,2687.6692,4218.2146
75.0,59.2141,113.5557,-362.7297,44.1564,365.4074,-3157.4809,-3841.2576,4972.4185,2670.1585,4194.6632
75.5,58.8964,113.5928,-365.4594,40.7996,367.7298,-3098.6514,-3851.9232,4943.5769,2652.1494,4171.9368
76.0,58.5763,113.627,-368.1379,37.4336,370.0362,-3039.9878,-3862.2911,4915.1621,2633.675,4150.0089
76.5,58.2539,113.6581,-370.7652,34.0587,372.3263,-2981.493,-3872.3555,4887.1707,2614.7669,4128.8536
77.0,57.9292,113.6864,-373.3416,30.6752,374.5997,-2923.1699,-3882.1108,4859.5995,2595.4546,4108.4453
77.5,57.6023,113.7117,-375.8672,27.2833,376.8561,-2865.0211,-3891.5518,4832.4446,2575.7662,4088.759
78.0,57.2732,113.734,-378.3421,23.8832,379.0951,-2807.0494,-3900.673,4805.7025,2555.7282,4069.7702
78.5,56.9419,113.7534,-380.7664,20.4754,381.3166,-2749.2573,-3909.4695,4779.3689,2535.3657,4051.455
79.0,56.6086,113.7697,-383.1405,17.06,383.5201,-2691.6472,-3917.9363,4753.4398,2514.7023,4033.79
79.5,56.2733,113.7831,-385.4643,13.6374,385.7055,-2634.2218,-3926.0686,4727.9107,2493.7605,4016.7522
80.0,55.9359,113.7935,-387.7381,10.2078,387.8725,-2576.9834,-3933.8619,4702.7771,2472.5613,4000.3192
80.5,55.5965,113.801,-389.9621,6.7716,390.0208,-2519.9343,-3941.3116,4678.0344,2451.1245,3984.4692
81.0,55.2553,113.8054,-392.1363,3.3291,392.1504,-2463.0769,-3948.4135,4653.6778,2429.4691,3969.1809
81.5,54.9121,113.8068,-394.261,-0.1196,394.261,-2406.4134,-3955.1633,4629.7022,2407.6126,3954.4334
