# ========================================================
# 4-BAR PLANAR KINEMATIC ENGINE DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (140.0, 0.0) mm
# Ground Distance (d): 140.0 mm
# Link 1 (Crank Length L1): 50.0 mm
# Link 2 (Coupler Length L2): 120.0 mm
# Link 3 (Rocker Length L3): 100.0 mm
# Coupler Point Offset (LP): 80.0 mm
# Coupler Point Offset Angle (alpha): 30.0 deg (ref to segment AB)
# Resolution Steps: 720 (Step size: 0.50 deg)
# ========================================================
step,crank_angle_deg,coupler_angle_deg,rocker_angle_deg,pivot_a_x,pivot_a_y,pivot_b_x,pivot_b_y,coupler_p_x,coupler_p_y
148,74.0,24.8474,99.9777,13.7819,48.0631,122.6735,98.4875,59.8423,113.4728
149,74.5,24.7536,100.1741,13.3619,48.1815,122.3359,98.4275,59.5294,113.5157
150,75.0,24.6609,100.372,12.941,48.2963,121.9961,98.366,59.2141,113.5557
151,75.5,24.5694,100.5713,12.519,48.4074,121.654,98.3027,58.8964,113.5928
152,76.0,24.4789,100.7721,12.0961,48.5148,121.3097,98.2378,58.5763,113.627
153,76.5,24.3897,100.9742,11.6723,48.6185,120.9633,98.1713,58.2539,113.6581
154,77.0,24.3015,101.1777,11.2476,48.7185,120.6147,98.1031,57.9292,113.6864
155,77.5,24.2144,101.3826,10.822,48.8148,120.264,98.0331,57.6023,113.7117
156,78.0,24.1285,101.5888,10.3956,48.9074,119.9113,97.9614,57.2732,113.734
157,78.5,24.0436,101.7963,9.9684,48.9962,119.5567,97.8881,56.9419,113.7534
158,79.0,23.9598,102.0051,9.5404,49.0814,119.2001,97.8129,56.6086,113.7697
159,79.5,23.8772,102.2152,9.1118,49.1627,118.8416,97.736,56.2733,113.7831
160,80.0,23.7955,102.4265,8.6824,49.2404,118.4813,97.6573,55.9359,113.7935
161,80.5,23.715,102.639,8.2524,49.3143,118.1192,97.5768,55.5965,113.801
162,81.0,23.6355,102.8527,7.8217,49.3844,117.7554,97.4945,55.2553,113.8054
163,81.5,23.5571,103.0676,7.3905,49.4508,117.3899,97.4104,54.9121,113.8068
164,82.0,23.4798,103.2837,6.9587,49.5134,117.0228,97.3244,54.5672,113.8051
165,82.5,23.4035,103.5009,6.5263,49.5722,116.654,97.2366,54.2204,113.8005
166,83.0,23.3282,103.7192,6.0935,49.6273,116.2837,97.147,53.8719,113.7929
167,83.5,23.2539,103.9386,5.6602,49.6786,115.9118,97.0555,53.5217,113.7822
168,84.0,23.1807,104.1591,5.2264,49.7261,115.5386,96.962,53.1698,113.7685
169,84.5,23.1086,104.3806,4.7923,49.7698,115.1638,96.8667,52.8164,113.7518
170,85.0,23.0374,104.6031,4.3578,49.8097,114.7878,96.7695,52.4613,113.732
171,85.5,22.9672,104.8267,3.923,49.8459,114.4103,96.6704,52.1047,113.7092
172,86.0,22.8981,105.0513,3.4878,49.8782,114.0316,96.5694,51.7466,113.6833
173,86.5,22.8299,105.2768,3.0524,49.9067,113.6517,96.4664,51.3871,113.6544
174,87.0,22.7628,105.5033,2.6168,49.9315,113.2706,96.3615,51.0261,113.6224
175,87.5,22.6966,105.7308,2.181,49.9524,112.8883,96.2546,50.6638,113.5874
176,88.0,22.6315,105.9591,1.745,49.9695,112.5049,96.1458,50.3001,113.5494
177,88.5,22.5673,106.1884,1.3088,49.9829,112.1204,96.035,49.9352,113.5083
178,89.0,22.5041,106.4185,0.8726,49.9924,111.7349,95.9223,49.569,113.4641
179,89.5,22.4418,106.6495,0.4363,49.9981,111.3484,95.8076,49.2016,113.4169
180,90.0,22.3806,106.8813,0.0,50.0,110.961,95.6908,48.8331,113.3666
181,90.5,22.3203,107.1139,-0.4363,49.9981,110.5727,95.5721,48.4634,113.3133
182,91.0,22.261,107.3474,-0.8726,49.9924,110.1836,95.4515,48.0927,113.2569
